model,method,action_list_len,image_size,MAE,match_ratio
gpt4o,direct,5.0,633600.0,86.02482065644654,1.0
gpt4o,direct,3.0,537600.0,86.97883254716982,1.0
gpt4o,direct,4.0,1082880.0,57.28818543632075,1.0
gpt4o,direct,35.0,10786560.0,61.362473060344826,0.62857
gpt4o,direct,1.0,825600.0,75.48188138757861,1.0
gpt4o,direct,50.0,10742400.0,102.10151041666668,0.24
gpt4o,direct,5.0,552960.0,62.01197179638365,1.0
gpt4o,direct,149.0,3709440.0,67.03196127583661,0.2818799999999999
gpt4o,direct,14.0,2213760.0,25.26079414359392,0.85714
gpt4o,direct,9.0,1910400.0,58.0423900462963,1.0
gpt4o,direct,5.0,752640.0,91.34334217767297,1.0
gpt4o,direct,193.0,6568320.0,87.07168036803135,0.06218
gpt4o,direct,4.0,1628160.0,64.86043877751572,1.0
gpt4o,direct,44.0,1847040.0,27.255414701257862,1.0
gpt4o,direct,5.0,1612800.0,34.267868022798744,1.0
gpt4o,direct,26.0,1440000.0,48.75238551493711,1.0
gpt4o,direct,1.0,3300480.0,173.53039994996362,1.0
gpt4o,direct,4.0,983040.0,66.86565202437107,1.0
gpt4o,direct,117.0,10588800.0,105.15151714653558,0.07692
gpt4o,direct,1.0,2163840.0,31.24142144097222,1.0
gpt4o,direct,24.0,3826560.0,67.7861846675373,0.54167
gpt4o,direct,58.0,7207680.0,101.04726664717218,0.17241
gpt4o,direct,3.0,2263680.0,41.80234872611465,1.0
gpt4o,direct,6.0,1910400.0,22.34556063286163,1.0
gpt4o,direct,18.0,2553600.0,41.24115024717514,0.83333
gpt4o,direct,5.0,1910400.0,14.301849941037736,1.0
gpt4o,direct,23.0,4755840.0,107.9404822969276,0.86957
gpt4o,direct,4.0,464640.0,90.90904017857144,1.0
gpt4o,direct,6.0,2350080.0,54.62575089468303,1.0
gpt4o,direct,2.0,3025920.0,56.57112165178572,1.0
gpt4o,direct,8.0,2204160.0,5.706824874046841,1.0
gpt4o,direct,6.0,990720.0,67.9099965605346,1.0
gpt4o,direct,27.0,2678400.0,68.00170794900339,0.62963
gpt4o,direct,5.0,1075200.0,60.4750761595912,1.0
gpt4o,direct,1.0,1175040.0,67.26629323899371,1.0
gpt4o,direct,5.0,1910400.0,29.019268376572327,0.8
gpt4o,direct,4.0,2273280.0,44.16173528439153,1.0
gpt4o,direct,1.0,1910400.0,54.946010220125785,1.0
gpt4o,direct,1.0,1104000.0,53.64022946147799,1.0
gpt4o,direct,6.0,898560.0,94.16888020833332,1.0
gpt4o,direct,26.0,4763520.0,99.88982435027356,0.76923
gpt4o,direct,5.0,706560.0,78.81079992138365,1.0
gpt4o,direct,6.0,883200.0,71.4967595322327,1.0
gpt4o,direct,6.0,2686080.0,24.1611424123101,1.0
gpt4o,direct,38.0,11275614.0,105.53887916068008,0.31579
gpt4o,direct,4.0,483840.0,90.812893081761,1.0
gpt4o,direct,7.0,1036800.0,79.80486438679246,0.85714
gpt4o,direct,68.0,3528960.0,92.53548708545918,0.29412
gpt4o,direct,2.0,574080.0,64.62886448506289,1.0
gpt4o,direct,4.0,1910400.0,15.711163522012578,1.0
gpt4o,direct,1.0,1409280.0,44.73433077830189,1.0
gpt4o,direct,4.0,1910400.0,23.59898044418239,1.0
gpt4o,direct,3.0,1228800.0,56.24376965408805,1.0
gpt4o,direct,9.0,1175040.0,51.16637676886793,1.0
gpt4o,direct,4.0,1098240.0,55.59021226415094,1.0
gpt4o,direct,5.0,1570560.0,33.54760465801887,1.0
gpt4o,direct,4.0,1607040.0,44.84067659198113,1.0
gpt4o,direct,11.0,1910400.0,24.914645815855703,1.0
gpt4o,direct,3.0,1420800.0,54.94671531053459,1.0
gpt4o,direct,5.0,1019520.0,65.2373820754717,1.0
gpt4o,direct,44.0,15083520.0,116.16208219178084,0.97727
gpt4o,direct,49.0,3761280.0,95.0795674276447,0.38776
gpt4o,direct,3.0,683520.0,77.85830692096678,1.0
gpt4o,direct,169.0,9012480.0,66.38358814294259,0.13018
gpt4o,direct,6.0,1075200.0,78.03645833333333,0.83333
gpt4o,direct,2.0,1968000.0,75.61767637744201,1.0
gpt4o,direct,5.0,6374400.0,15.0377474928081,1.0
gpt4o,direct,5.0,2469120.0,85.53792861451373,1.0
gpt4o,direct,4.0,387840.0,94.85819084119495,1.0
gpt4o,direct,1.0,1098240.0,53.388789799528304,1.0
gpt4o,direct,20.0,1115520.0,63.5805080581761,1.0
